cest_timestamp,param_0
2017-05-01 00:00:00,0.18375023186833195
2017-05-01 01:00:00,0.12543660279745952
2017-05-01 02:00:00,0.08061860290595975
2017-05-01 03:00:00,0.0850906138584737
2017-05-01 04:00:00,0.05120346090649719
2017-05-01 05:00:00,0.03574676277564519
2017-05-01 06:00:00,-0.17485714589497303
2017-05-01 07:00:00,-0.5129750142175894
2017-05-01 08:00:00,-1.2607863106405646
2017-05-01 09:00:00,-2.1521451363888486
2017-05-01 10:00:00,-3.4095586713136568
2017-05-01 11:00:00,-3.706492672501219
2017-05-01 12:00:00,-4.761387340158014
2017-05-01 13:00:00,-4.124660963528959
2017-05-01 14:00:00,-4.72480688191047
2017-05-01 15:00:00,-4.135538815355162
2017-05-01 16:00:00,-4.4570346364192845
2017-05-01 17:00:00,-4.0169707570549775
2017-05-01 18:00:00,-3.445696201327736
2017-05-01 19:00:00,-2.140187163411735
2017-05-01 20:00:00,-0.9579618231466147
2017-05-01 21:00:00,0.04249115518990249
2017-05-01 22:00:00,0.18806722581652924
2017-05-01 23:00:00,0.21881460137503128
2017-05-02 00:00:00,0.15266870166017307
2017-05-02 01:00:00,0.150625630004357
2017-05-02 02:00:00,0.13830388058827722
2017-05-02 03:00:00,0.11263432631508544
2017-05-02 04:00:00,0.09839977860911997
2017-05-02 05:00:00,0.08575002387781236
2017-05-02 06:00:00,-0.1567780479039894
2017-05-02 07:00:00,-0.4900405571146472
2017-05-02 08:00:00,-1.274303331639294
2017-05-02 09:00:00,-2.283309730524703
2017-05-02 10:00:00,-3.1950008494385687
2017-05-02 11:00:00,-3.3570572171771516
2017-05-02 12:00:00,-4.1953998496738105
2017-05-02 13:00:00,-4.545525818429144
2017-05-02 14:00:00,-4.68745972100373
2017-05-02 15:00:00,-4.575604674935589
2017-05-02 16:00:00,-4.503093297959016
2017-05-02 17:00:00,-3.576078373335607
2017-05-02 18:00:00,-3.0456438624842406
2017-05-02 19:00:00,-1.9802205512957467
2017-05-02 20:00:00,-0.99794216619047
2017-05-02 21:00:00,-0.1162043545892534
2017-05-02 22:00:00,0.1879160002771087
2017-05-02 23:00:00,0.21231924883176798
2017-05-03 00:00:00,0.1630681684899807
2017-05-03 01:00:00,0.12781428385368968
2017-05-03 02:00:00,0.1379269103938081
2017-05-03 03:00:00,0.14156463441764683
2017-05-03 04:00:00,0.12331434215092166
2017-05-03 05:00:00,0.1064866692287342
2017-05-03 06:00:00,-0.10340332473646842
2017-05-03 07:00:00,-0.4064325413835882
2017-05-03 08:00:00,-1.3781016269673037
2017-05-03 09:00:00,-2.217346246876333
2017-05-03 10:00:00,-3.3505614067730094
2017-05-03 11:00:00,-3.6439786817693443
2017-05-03 12:00:00,-4.436690370432204
2017-05-03 13:00:00,-4.40603895006974
2017-05-03 14:00:00,-4.7488991567879175
2017-05-03 15:00:00,-4.415426564132594
2017-05-03 16:00:00,-3.823260710492347
2017-05-03 17:00:00,-3.8378646194035753
2017-05-03 18:00:00,-2.815629600769444
2017-05-03 19:00:00,-2.342458134486846
2017-05-03 20:00:00,-1.124531080680486
2017-05-03 21:00:00,-0.05202959730523884
2017-05-03 22:00:00,0.17165893289122947
2017-05-03 23:00:00,0.2372942407337003
2017-05-04 00:00:00,0.16852680194625747
2017-05-04 01:00:00,0.14812262116461006
2017-05-04 02:00:00,0.1327929582787516
2017-05-04 03:00:00,0.13080589248559177
2017-05-04 04:00:00,0.12402541645227837
2017-05-04 05:00:00,0.12019620667058283
2017-05-04 06:00:00,-0.11470256359373819
2017-05-04 07:00:00,-0.48657661719819234
2017-05-04 08:00:00,-1.21410279585386
2017-05-04 09:00:00,-2.284131408465472
2017-05-04 10:00:00,-3.2412596571700956
2017-05-04 11:00:00,-3.895229101950673
2017-05-04 12:00:00,-4.307492514773918
2017-05-04 13:00:00,-3.868621605090093
2017-05-04 14:00:00,-4.165462325351868
2017-05-04 15:00:00,-4.626700176632771
2017-05-04 16:00:00,-4.68312500601588
2017-05-04 17:00:00,-3.648629340374838
2017-05-04 18:00:00,-2.904072142129116
2017-05-04 19:00:00,-2.095751402785687
2017-05-04 20:00:00,-0.9166919580549449
2017-05-04 21:00:00,-0.09516420006941398
2017-05-04 22:00:00,0.16497133699129646
2017-05-04 23:00:00,0.2172432467688386
2017-05-05 00:00:00,0.15942607109341397
2017-05-05 01:00:00,0.15982719320867003
2017-05-05 02:00:00,0.12741151812034723
2017-05-05 03:00:00,0.1159851523716703
2017-05-05 04:00:00,0.13167397308830384
2017-05-05 05:00:00,0.12442414268799563
2017-05-05 06:00:00,-0.1174589300255723
2017-05-05 07:00:00,-0.4844757908072078
2017-05-05 08:00:00,-1.3072204366460392
2017-05-05 09:00:00,-2.4020885641228817
2017-05-05 10:00:00,-2.9378869682443174
2017-05-05 11:00:00,-3.3970376619352805
2017-05-05 12:00:00,-4.0473715790409805
2017-05-05 13:00:00,-3.9277098963035413
2017-05-05 14:00:00,-4.611931546341884
2017-05-05 15:00:00,-4.532239200506875
2017-05-05 16:00:00,-4.354873894827527
2017-05-05 17:00:00,-3.855410425484271
2017-05-05 18:00:00,-3.1023678318429027
2017-05-05 19:00:00,-2.4386032514606977
2017-05-05 20:00:00,-1.224178703737312
2017-05-05 21:00:00,-0.052382739946863814
2017-05-05 22:00:00,0.17906498178687133
2017-05-05 23:00:00,0.20508217892895303
2017-05-06 00:00:00,0.17297615700677127
2017-05-06 01:00:00,0.15295330941036384
2017-05-06 02:00:00,0.15571876586987018
2017-05-06 03:00:00,0.13867678646155518
